date,start_time,end_time,time,year,month,hours_fishing,time_period,season,location,air_temp,weather,wind_level,wind_dir,trolling_speed,water_depth,fish_length,fish_type,crew_count,weight,hook_rate
2015-04-15 00:00:00,2015-04-15 07:00:00,2015-04-15 09:00:00,2015-04-15 08:00:00,2015,4,2.0,morning,spring,Lower Harbor,65,Clear,12.5,South,2.5,50.0,25.0,Chinook,1.0,1.0,0.5
2015-04-16 00:00:00,2015-04-16 18:00:00,2015-04-16 21:00:00,2015-04-16 19:30:00,2015,4,3.0,evening,spring,Lower Harbor,65,Clear,2.5,South,2.7,50.0,23.0,Chinook,1.0,1.0,0.3333333333333333
2015-04-28 00:00:00,2015-04-28 17:00:00,2015-04-28 20:00:00,2015-04-28 18:30:00,2015,4,3.0,evening,spring,Lower Harbor,65,Partly Cloudy,2.5,South,2.5,70.0,23.0,Chinook,1.0,1.0,0.3333333333333333
2015-05-02 00:00:00,2015-05-02 07:00:00,2015-05-02 10:00:00,2015-05-02 08:30:00,2015,5,3.0,morning,spring,Lower Harbor,55,Overcast,2.5,South,2.1,60.0,23.0,Lake Trout,1.0,1.0,0.3333333333333333
2015-05-20 00:00:00,2015-05-20 19:00:00,2015-05-20 21:00:00,2015-05-20 20:00:00,2015,5,2.0,evening,spring,Lower Harbor,65,Overcast,2.5,East,2.5,70.0,21.0,Lake Trout,1.0,1.0,1.0
2015-05-24 00:00:00,2015-05-24 09:00:00,2015-05-24 14:00:00,2015-05-24 11:30:00,2015,5,5.0,morning,spring,Chocolay,65,Overcast,2.5,South,2.3,60.0,27.0,Lake Trout,2.0,0.3333333333333333,0.8
2015-05-24 00:00:00,2015-05-24 09:00:00,2015-05-24 14:00:00,2015-05-24 11:30:00,2015,5,5.0,morning,spring,Chocolay,65,Overcast,2.5,South,2.3,60.0,25.0,Lake Trout,2.0,0.3333333333333333,0.8
2015-05-24 00:00:00,2015-05-24 09:00:00,2015-05-24 14:00:00,2015-05-24 11:30:00,2015,5,5.0,morning,spring,Chocolay,65,Overcast,2.5,South,2.3,60.0,21.0,Lake Trout,2.0,0.3333333333333333,0.8
2015-05-27 00:00:00,2015-05-27 18:00:00,2015-05-27 21:00:00,2015-05-27 19:30:00,2015,5,3.0,evening,spring,Lower Harbor,65,Overcast,2.5,East,2.5,70.0,23.0,Lake Trout,1.0,0.25,1.3333333333333333
2015-05-27 00:00:00,2015-05-27 18:00:00,2015-05-27 21:00:00,2015-05-27 19:30:00,2015,5,3.0,evening,spring,Chocolay,65,Overcast,2.5,East,2.5,70.0,25.0,Lake Trout,2.0,0.25,1.3333333333333333
2015-05-27 00:00:00,2015-05-27 18:00:00,2015-05-27 21:00:00,2015-05-27 19:30:00,2015,5,3.0,evening,spring,Chocolay,65,Overcast,2.5,East,2.5,70.0,29.0,Lake Trout,2.0,0.25,1.3333333333333333
2015-05-27 00:00:00,2015-05-27 18:00:00,2015-05-27 21:00:00,2015-05-27 19:30:00,2015,5,3.0,evening,spring,Chocolay,65,Overcast,2.5,East,2.5,70.0,27.0,Lake Trout,2.0,0.25,1.3333333333333333
2015-06-06 00:00:00,2015-06-06 06:00:00,2015-06-06 14:00:00,2015-06-06 10:00:00,2015,6,8.0,morning,summer,Shot Point,55,Clear,2.5,East,1.9,180.0,19.0,Lake Trout,2.0,0.25,0.625
2015-06-06 00:00:00,2015-06-06 06:00:00,2015-06-06 14:00:00,2015-06-06 10:00:00,2015,6,8.0,morning,summer,Shot Point,55,Clear,2.5,East,1.9,180.0,23.0,Lake Trout,2.0,0.25,0.625
2015-06-06 00:00:00,2015-06-06 06:00:00,2015-06-06 14:00:00,2015-06-06 10:00:00,2015,6,8.0,morning,summer,Shot Point,55,Clear,2.5,East,1.9,180.0,23.0,Lake Trout,2.0,0.25,0.625
2015-06-06 00:00:00,2015-06-06 06:00:00,2015-06-06 14:00:00,2015-06-06 10:00:00,2015,6,8.0,morning,summer,Chocolay,55,Clear,7.5,East,2.5,70.0,23.0,Lake Trout,2.0,0.25,0.625
2015-06-08 00:00:00,2015-06-08 18:00:00,2015-06-08 20:00:00,2015-06-08 19:00:00,2015,6,2.0,evening,summer,Lower Harbor,65,Clear,2.5,South,2.5,70.0,23.0,Lake Trout,1.0,1.0,0.5
2015-06-09 00:00:00,2015-06-09 07:00:00,2015-06-09 14:00:00,2015-06-09 10:30:00,2015,6,7.0,morning,summer,Sand Hole,65,Clear,2.5,South,1.9,180.0,23.0,Lake Trout,3.0,0.125,1.5714285714285714
2015-06-09 00:00:00,2015-06-09 07:00:00,2015-06-09 14:00:00,2015-06-09 10:30:00,2015,6,7.0,morning,summer,Sand Hole,65,Clear,2.5,South,1.9,180.0,23.0,Lake Trout,3.0,0.125,1.5714285714285714
2015-06-09 00:00:00,2015-06-09 07:00:00,2015-06-09 14:00:00,2015-06-09 10:30:00,2015,6,7.0,morning,summer,Sand Hole,65,Clear,2.5,South,1.9,180.0,23.0,Lake Trout,3.0,0.125,1.5714285714285714
2015-06-09 00:00:00,2015-06-09 07:00:00,2015-06-09 14:00:00,2015-06-09 10:30:00,2015,6,7.0,morning,summer,Sand Hole,65,Clear,2.5,South,1.9,180.0,23.0,Lake Trout,3.0,0.125,1.5714285714285714
