date,start_time,end_time,time,year,month,hours_fishing,time_period,season,location,air_temp,weather,wind_level,wind_dir,trolling_speed,water_depth,fish_length,fish_type,crew_count,hook_rate
2010-03-18,2010-03-18 17:35:00,2010-03-18 19:25:00,2010-03-18 18:30:00,2010.0,3.0,1.8333333333333333,evening,spring,Upper Harbor,55.0,Partly Cloudy,1.5,NorthWest,2.7,34.0,20.0,Coho,1.0,0.5454545454545455
2010-03-20,2010-03-20 10:30:00,2010-03-20 19:30:00,2010-03-20 18:30:00,2010.0,3.0,9.0,evening,spring,Lower Harbor,32.6,Clear,6.1,NorthEast,2.66,35.2,19.8,Coho,1.0,0.5555555555555556
2010-03-21,2010-03-21 16:05:00,2010-03-21 18:55:00,2010-03-21 18:30:00,2010.0,3.0,2.8333333333333335,evening,spring,Upper Harbor,39.0,Clear,3.5,NorthEast,2.8,83.0,20.0,Coho,1.0,0.7058823529411764
2010-03-23,2010-03-23 16:35:00,2010-03-23 18:25:00,2010-03-23 17:30:00,2010.0,3.0,1.8333333333333333,afternoon,spring,Lower Harbor Lighthouse,42.0,Clear,0.5,NorthEast,2.8,65.0,29.0,Lake Trout,1.0,0.5454545454545455
2010-04-01,2010-04-01 17:35:00,2010-04-01 19:25:00,2010-04-01 18:30:00,2010.0,4.0,1.8333333333333333,evening,spring,Lower Harbor Lighthouse,55.0,Clear,0.5,NorthEast,2.7,65.0,22.0,Lake Trout,1.0,0.5454545454545455
2010-04-03,2010-04-03 11:01:15,2010-04-03 13:43:45,2010-04-03 12:15:00,2010.0,4.0,2.7083333333333335,afternoon,spring,Lower Harbor Lighthouse,62.0,Overcast,8.5,SouthWest,2.7999999999999994,68.33333333333333,23.666666666666668,Lake Trout,1.0,1.1076923076923075
2010-04-04,2010-04-04 12:20:00,2010-04-04 14:10:00,2010-04-04 13:15:00,2010.0,4.0,1.8333333333333333,afternoon,spring,Lower Harbor Lighthouse,48.0,Rain,10.0,SouthWest,2.8,65.0,27.0,Lake Trout,1.0,0.5454545454545455
2010-04-05,2010-04-05 13:12:30,2010-04-05 15:17:30,2010-04-05 14:30:00,2010.0,4.0,2.0833333333333335,afternoon,spring,Lower Harbor Lighthouse,55.0,Partly Cloudy,3.5,SouthEast,2.7,67.0,24.0,Lake Trout,1.0,0.96
2010-04-18,2010-04-18 15:35:00,2010-04-18 17:25:00,2010-04-18 16:30:00,2010.0,4.0,1.8333333333333333,afternoon,spring,Lower Harbor Lighthouse,55.0,Clear,8.5,NorthEast,2.7,68.0,26.0,Lake Trout,1.0,0.5454545454545455
2010-04-19,2010-04-19 17:00:00,2010-04-19 19:30:00,2010-04-19 17:30:00,2010.0,4.0,2.5,afternoon,spring,Lower Harbor Lighthouse,51.0,Overcast,1.5,NorthEast,2.8,68.0,24.0,Lake Trout,1.0,0.8
2010-05-03,2010-05-03 14:42:30,2010-05-03 16:47:30,2010-05-03 16:00:00,2010.0,5.0,2.0833333333333335,afternoon,spring,Lower Harbor Lighthouse,51.0,Partly Cloudy,3.5,NorthEast,2.7,67.0,25.5,Lake Trout,1.0,0.96
